source_file,path,ticker,provider,date_min,date_max,linhas,asset_class,exchange
abev3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\abev3_sa_1d.parquet,ABEV3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
b3sa3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\b3sa3_sa_1d.parquet,B3SA3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
bbas3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\bbas3_sa_1d.parquet,BBAS3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
cple6_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\cple6_sa_1d.parquet,CPLE6,investing,2012-01-02,2025-09-19,3408,B3_EQUITY,B3
csna3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\csna3_sa_1d.parquet,CSNA3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
elet3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\elet3_sa_1d.parquet,ELET3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
ggbr4_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\ggbr4_sa_1d.parquet,GGBR4,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
hapv3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\hapv3_sa_1d.parquet,HAPV3,investing,2018-04-26,2025-09-19,1840,B3_EQUITY,B3
itub4_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\itub4_sa_1d.parquet,ITUB4,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
lren3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\lren3_sa_1d.parquet,LREN3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
petr4_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\petr4_sa_1d.parquet,PETR4,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
prio3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\prio3_sa_1d.parquet,PRIO3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
pssa3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\pssa3_sa_1d.parquet,PSSA3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
rail3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\rail3_sa_1d.parquet,RAIL3,investing,2015-04-02,2025-09-19,2606,B3_EQUITY,B3
rdor3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\rdor3_sa_1d.parquet,RDOR3,investing,2020-12-15,2025-09-19,1187,B3_EQUITY,B3
sbsp3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\sbsp3_sa_1d.parquet,SBSP3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
suzb3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\suzb3_sa_1d.parquet,SUZB3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
taee11_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\taee11_sa_1d.parquet,TAEE11,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
tims3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\tims3_sa_1d.parquet,TIMS3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
tots3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\tots3_sa_1d.parquet,TOTS3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
ugpa3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\ugpa3_sa_1d.parquet,UGPA3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
